time_s,phase_rad,phase_deg,crossing_count,any_crossing,core_crossing_count,any_core_crossing,minimum_estimated_clearance_m,foot_endpoint_distance_m,front_thigh__rear_thigh_crossing,front_thigh__rear_thigh_core_crossing,front_thigh__rear_thigh_centerline_distance_m,front_thigh__rear_thigh_estimated_clearance_m,front_thigh__rear_shank_crossing,front_thigh__rear_shank_core_crossing,front_thigh__rear_shank_centerline_distance_m,front_thigh__rear_shank_estimated_clearance_m,front_shank__rear_thigh_crossing,front_shank__rear_thigh_core_crossing,front_shank__rear_thigh_centerline_distance_m,front_shank__rear_thigh_estimated_clearance_m,front_shank__rear_shank_crossing,front_shank__rear_shank_core_crossing,front_shank__rear_shank_centerline_distance_m,front_shank__rear_shank_estimated_clearance_m
7.929999999999349,54.020148194985254,3095.1265002439072,0.0,0.0,0.0,0.0,0.08806593799002688,0.09036974696385768,0.0,0.0,0.14999999999999902,0.125999999999999,0.0,0.0,0.19852664682933355,0.17652664682933353,0.0,0.0,0.2019283906270627,0.17992839062706267,0.0,0.0,0.10806593799002687,0.08806593799002688
7.9319999999993485,54.040549391487026,3096.2954027004757,0.0,0.0,0.0,0.0,0.08463953458416562,0.08655781743040583,0.0,0.0,0.1500000000000005,0.12600000000000047,0.0,0.0,0.19674198493028627,0.17474198493028625,0.0,0.0,0.19992748541355992,0.1779274854135599,0.0,0.0,0.10463953458416561,0.08463953458416562
7.933999999999348,54.06102571862721,3097.4686098255374,0.0,0.0,0.0,0.0,0.08108003670025914,0.08260056052222649,0.0,0.0,0.14999999999999908,0.12599999999999906,0.0,0.0,0.19483477731907628,0.17283477731907626,0.0,0.0,0.1978411370289261,0.1758411370289261,0.0,0.0,0.10108003670025913,0.08108003670025914
7.935999999999348,54.08162552487732,3098.648891782456,0.0,0.0,0.0,0.0,0.07739125081563702,0.07850261238908936,0.0,0.0,0.14999999999999974,0.12599999999999972,0.0,0.0,0.19279552354269885,0.17079552354269883,0.0,0.0,0.19567760597468703,0.173677605974687,0.0,0.0,0.09739125081563701,0.07739125081563702
7.937999999999348,54.10237845183523,3099.8379469096876,0.0,0.0,0.0,0.0,0.07357770755266058,0.07426932506109313,0.0,0.0,0.15000000000000005,0.12600000000000003,0.0,0.0,0.19061760705405498,0.16861760705405496,0.0,0.0,0.19344416132631914,0.17144416132631912,0.0,0.0,0.09357770755266057,0.07357770755266058
7.939999999999348,54.12330114709342,3101.0367290440204,0.0,0.0,0.0,0.0,0.0696458291194804,0.06990806569296339,0.0,0.0,0.1500000000000002,0.12600000000000017,0.0,0.0,0.1882974367649711,0.16629743676497108,0.0,0.0,0.19114821021590425,0.16914821021590423,0.0,0.0,0.0896458291194804,0.0696458291194804
7.941999999999347,54.14440125853999,3102.2456763771643,0.0,0.0,0.0,0.0,0.06560349676518706,0.06542784399067017,0.0,0.0,0.14999999999999902,0.125999999999999,0.0,0.0,0.18583359425926668,0.16383359425926666,0.0,0.0,0.18879717667988075,0.16679717667988073,0.0,0.0,0.08560349676518705,0.06560349676518706
7.943999999999347,54.1656809032691,3103.46491020968,0.0,0.0,0.0,0.0,0.061459762313928946,0.06083911535579195,0.0,0.0,0.14999999999999944,0.12599999999999942,0.0,0.0,0.18322624299216927,0.16122624299216926,0.0,0.0,0.18639841939817414,0.16439841939817412,0.0,0.0,0.08145976231392894,0.061459762313928946
7.945999999999347,54.187249361044316,3104.700691810806,0.0,0.0,0.0,0.0,0.057224647900829144,0.05615373168241844,0.0,0.0,0.14999999999999888,0.12599999999999886,0.0,0.0,0.18047663780349096,0.15847663780349094,0.0,0.0,0.18395920913395986,0.16195920913395984,0.0,0.0,0.07722464790082914,0.057224647900829144
7.947999999999347,54.209066883008525,3105.9507437387892,0.0,0.0,0.0,0.0,0.05290425924896885,0.051380562335199456,0.0,0.0,0.14999999999999875,0.12599999999999872,0.0,0.0,0.17757550837484729,0.15557550837484727,0.0,0.0,0.18148894163778662,0.1594889416377866,0.0,0.0,0.07290425924896884,0.05290425924896885
