time_s,phase_rad,phase_deg,pitch_rate_rad_s,root_x_m,front_hip_target_rad,front_knee_target_rad,rear_hip_target_rad,rear_knee_target_rad,front_hip_position_rad,front_knee_position_rad,rear_hip_position_rad,rear_knee_position_rad,front_hip_torque_Nm,front_knee_torque_Nm,rear_hip_torque_Nm,rear_knee_torque_Nm,actuator_power_W,actuator_net_work_J,foot_gap_m,roundness_peak_to_peak_m,ground_contact_count,airborne
2.393999999999958,12.008374797612381,688.0291947144535,1.2088532654273467,1.8256430010673734,0.45648109015328486,1.8297583497261596,0.5951509543839028,1.807587374812345,0.4058768682516449,1.8716931144628641,0.3958056769598528,1.89348465740864,0.2672571927691303,-0.14739416919899995,0.9297772062317851,-0.4121098329814039,6.48887575966883,6.255635290228552,0.03424046069901936,0.07528680895229296,2.0,0.0
2.3959999999999577,12.011250105231406,688.1939377058255,1.4376538095125113,1.8279975229703782,0.45645843996719593,1.825685546431894,0.5991575563417625,1.8008528089084126,0.40909393873948013,1.8682749690104339,0.40593871333504644,1.8899270343933159,0.20402803603124564,-0.1352955188727023,0.9548368430341911,-0.5227473554802806,6.326983410936481,6.268289257050425,0.03199003712653315,0.0749483771002191,2.0,0.0
2.3979999999999575,12.014417935176796,688.3754409919115,1.5839149726953579,1.8303469718379084,0.4564108814570144,1.8215365756744875,0.603090421257572,1.7940621130514147,0.41241051006507035,1.8647130613049625,0.41562638740703634,1.8865709052538893,0.15146237839181786,-0.12556938811643548,0.958213441705893,-0.6028869118866105,6.127914099795628,6.280545085250016,0.02981083761064974,0.07484642036695735,2.0,0.0
2.3999999999999573,12.017761019227596,688.5669855985798,1.671542025399435,1.8326948895411577,0.45633885250280665,1.8173132284690567,0.6069503854715732,1.7872170285849682,0.4157550765583902,1.8610273919285671,0.42501518163744023,1.8832177578232807,0.10762629181833905,-0.11780755781191488,0.9444725734463795,-0.6579258527465406,5.933872014283618,6.292412829278583,0.027673950313543836,0.07476840300276316,2.0,0.0
2.401999999999957,12.021199615348868,688.7640026437788,1.719298060636266,1.8350435783951091,0.4562427831048634,1.8130174917962747,0.6107380380821149,1.7803196464668385,0.41907774277431126,1.857232785292579,0.43420416170926956,1.8797299746259426,0.07042041613274641,-0.11153206368339497,0.9183491414063569,-0.6936663705035713,5.757626858769641,6.303928082996123,0.02555955864861467,0.074684246314333,2.0,0.0
2.403999999999957,12.024681188892576,688.9634821138976,1.7407867718541852,1.8373944789919816,0.4561231004788676,1.8086514902809292,0.6144538112253137,1.7733722953784348,0.4223441411170716,1.8533402750522752,0.44325836676702124,1.876014650166936,0.038186955453461735,-0.10635228651767648,0.8835984879775065,-0.7147984727412755,5.597350660131032,6.315122784316385,0.023454462416920754,0.07457292733714076,2.0,0.0
2.4059999999999566,12.028172424781683,689.1635151956281,1.7456179445537812,1.8397484484148459,0.45598023191454806,1.8042174393568473,0.6180980450875184,1.7663774553869414,0.4255308551515952,1.849358179490465,0.45221897974088915,1.8720111465064024,0.009721073698733207,-0.10197733292389444,0.8429762774298029,-0.7248395018992717,5.446271767090584,6.326015327850566,0.021350311648369754,0.07442017019163213,2.0,0.0
2.4079999999999564,12.031653782506448,689.3629823002324,1.7406788623818326,1.8421059472520578,0.45581460615426694,1.799717608906164,0.6216710332733313,1.7593376933136482,0.4286222975631234,1.8452928392878247,0.46111016786634634,1.8676824932164182,-0.015833893425648782,-0.09819614966199808,0.798459237937629,-0.7263841658742045,5.296883844853126,6.336609095540273,0.019242572903306533,0.07421663621567583,2.0,0.0
2.409999999999956,12.03511535918175,689.5613160341882,1.7307883376510875,1.8444671746398058,0.4556266537734842,1.7951542942730532,0.6251730546096114,1.7522556132593134,0.43160838651642,1.841149180788533,0.4699442241695044,1.8630088410524757,-0.03910067904921011,-0.09485142988368978,0.7515100548869293,-0.7214034705726178,5.143372428205102,6.346895840396683,0.017130197708054212,0.07395665994125473,2.0,0.0
2.411999999999956,12.038553398386869,689.7583011704419,1.7190196025594928,1.8468321708385524,0.45541680693016895,1.7905297936260183,0.6286043946581092,1.7451338195272308,0.4344826851605618,1.836931194871937,0.478725974619878,1.857981969544968,-0.06052469119216752,-0.09182802169596371,0.7031960745702452,-0.7113849988581933,4.982348345309303,6.356860537087301,0.0150159001263288,0.07363727082453506,2.0,0.0
